topic,title
Python Programming,Python Basics
Python Programming,Data Types and Variables
Computer Vision,Introduction to Computer Vision
Computer Vision,Image Processing Basics
Machine Learning,Introduction to Machine Learning
Machine Learning,Linear Regression
Artificial Intelligence,Introduction to Artificial Intelligence
Artificial Intelligence,Machine Learning
MERN Stack,Introduction to MERN Stack
MERN Stack,Setting up MERN Development Environment
MERN Stack,MongoDB Basics
Computer Networks,Introduction to Computer Vision
